time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-6.06219806168e-08,1.71819757875e-07,10.0006859938,0.000197042651629,7.93725603279e-05,0.0,-5.7273360851e-06,1.52844358982e-05,0.0228660163002,0.00915417515659,0.00384558515513,0.0,411.76677713013254,412.106744304486,411.0606457022207,411.87085343476707
0.12000000000000001,-3.52384704319e-06,7.74898327274e-06,10.0068842978,0.000666167889094,0.000626242652525,0.0,-0.000154729917729,0.000293978137286,0.183731105742,0.00500433375057,0.0179861939493,0.0,455.4662540372985,456.5954629678955,455.74721661217893,455.4153544490465
0.18,-3.14222463182e-05,4.16228689764e-05,10.0224848116,0.00114636593422,0.00193271155358,0.0,-0.000907149172536,0.000878616733668,0.336252602364,0.0134122580495,0.0284397381696,0.0,453.7332324009783,454.57154982745783,452.12905252035176,452.80572079810764
0.23999999999999996,-0.000143746166803,0.000127361478289,10.0505818758,0.00173009737318,0.00392427906113,0.0,-0.00307200322652,0.00206847647086,0.600214126687,0.00109832040016,0.0413156632395,0.0,486.61497356484836,487.5780429788917,485.97429343065266,485.0504409476672
0.3,-0.000413919254936,0.000285986658867,10.088490599,0.00220404087355,0.00656181771228,0.0,-0.00618106508933,0.00324756645661,0.663373781789,0.0188691619715,0.0487798265468,0.0,425.19142326453414,425.8314937423847,424.60648724028584,426.12800967932327
0.36000000000000004,-0.000955053973457,0.000538820721435,10.1346099865,0.00289390341869,0.00913801679968,0.0,-0.0121859162417,0.00529615251069,0.873799024131,-0.0103697815381,0.0274699564894,0.0,472.3761667017015,470.7311040628422,471.820188419857,469.55763830494163
0.4200000000000001,-0.00187326878941,0.000911560198554,10.1891632541,0.00226983030058,0.0110262071622,0.0,-0.0185944198964,0.00706746649963,0.94458545601,-0.0104641669133,0.0384614554328,0.0,428.4698714669786,429.40357240350704,427.7297298703185,427.7218123195339
0.48000000000000015,-0.00324722234864,0.00138403800462,10.2506480471,0.00169147272141,0.0139885524519,0.0,-0.0275012892445,0.00861464186535,1.10476277935,-0.00803856181213,0.0652211506812,0.0,455.3446258926525,457.4814241403446,456.5358251895499,456.7294234675965
0.5400000000000001,-0.00528094022421,0.00194291957657,10.3253375225,0.00140939968235,0.0180437140773,0.0,-0.0407978577519,0.00996601849237,1.38458239597,0.00125418777657,0.071937609913,0.0,492.4928134949827,492.9922071327502,490.7008077756984,491.3901673353293
0.6000000000000002,-0.0080998866164,0.00256882243319,10.410447254,0.00123675415514,0.0222829251173,0.0,-0.0535814886547,0.0108941397739,1.45231631432,-0.0127832800312,0.0679545587916,0.0,429.8170001386207,429.48334351106547,427.9542471021482,426.7578895758718
0.6600000000000003,-0.0118162274417,0.00324620598371,10.5016884652,0.000326053203379,0.0264040650661,0.0,-0.0707327542135,0.0115955317639,1.58886649815,-0.0204592726938,0.0701084734646,0.0,450.161070177303,450.3388119293748,451.02416503046135,450.40394608919235
0.7200000000000003,-0.0166863482724,0.00394426644286,10.6023582809,6.28186405057,0.0312197436997,0.0,-0.0921155905865,0.0115169526847,1.76652105591,-0.0475678899332,0.0952777380612,0.0,462.7009124669776,464.682685997887,464.18723268687717,462.05490172985157
0.7800000000000004,-0.0229351765306,0.00459390155006,10.7130120829,6.27884243531,0.0376908466371,0.0,-0.11685031387,0.00981519916907,1.92166620165,-0.0566266766702,0.12541426808,0.0,455.64952169212313,458.06168521570925,457.8882366809503,457.16550879571804
0.8400000000000004,-0.0306920584197,0.00508809548151,10.8297276647,6.27559364488,0.0450150435925,0.0,-0.14240943217,0.00634593617441,1.96874105016,-0.0495995247633,0.114372670579,0.0,424.6540757358467,423.7201218622308,422.77345381681675,423.3763303438884
0.9000000000000005,-0.0402309314349,0.00529395699948,10.9516591711,6.27240425421,0.0517542290684,0.0,-0.176263584826,0.000192944199607,2.09537854528,-0.0614347196424,0.10786495053,0.0,448.8308976294172,448.3135150979913,450.46107479005616,449.50118589744415
0.9600000000000005,-0.0520186860596,0.00504347374855,11.0825802481,6.26835258232,0.0584420212945,0.0,-0.217387429907,-0.00896962739849,2.26828013101,-0.0839193748064,0.117826773958,0.0,462.4281091801959,463.22253771997805,465.9842383148412,464.21992884759493
1.0200000000000005,-0.0664448886798,0.00414083837113,11.2241287452,6.26314991796,0.0655345911718,0.0,-0.264271428864,-0.0216942558718,2.44956656004,-0.0929735163505,0.118963453073,0.0,466.0661519148558,466.16681983448944,468.79047921677153,468.08060065001354
1.0800000000000005,-0.0835674814806,0.00244093463638,11.3723453136,6.25715847719,0.0727417301582,0.0,-0.30714551921,-0.0355004368938,2.49083095124,-0.119454049846,0.122333211415,0.0,424.7111539121217,425.0137936524685,425.0209103228054,422.7357053291484
1.1400000000000006,-0.103522881468,-0.000251356908632,11.5246862927,6.24961336456,0.0799479521453,0.0,-0.358757386674,-0.0549761797867,2.58690083624,-0.142919959053,0.115228688011,0.0,442.9456474566476,442.3740615813512,443.112196037468,441.1640120974743
1.2000000000000006,-0.126625041041,-0.00423031078302,11.6815874546,6.24115108009,0.0866004310866,0.0,-0.411954790644,-0.078461805605,2.64291274464,-0.137521383164,0.100324254615,0.0,431.97142821730125,430.7239515179543,428.87933621157805,429.3183113742352
1.2600000000000007,-0.153194379943,-0.00985434230189,11.8435279964,6.23302112029,0.0926440875974,0.0,-0.474294028838,-0.109840372441,2.75472999802,-0.131738233948,0.101521724384,0.0,447.72294023075614,447.8290368532737,449.00473574284206,449.4568975435556
